model,val_accuracy,val_macro_f1,val_weighted_f1,val_auc,test_accuracy,test_macro_f1,test_weighted_f1,test_auc
xgboost,0.5144667952604023,0.329166074189306,0.4349765109283095,0.5518507911821161,0.48163377192982454,0.336862978241593,0.41243334636635215,0.5421775272037151
cnn,0.33838523009093413,0.3135964657056585,0.34392309403468035,0.5033253481150969,0.3157894736842105,0.30289025536345593,0.326173400852615,0.4760310042485312
lstm,0.4293193717277487,0.37334964296359896,0.43291718388763045,0.5598736794298501,0.3980263157894737,0.32631528290364376,0.3800169776673064,0.5238614609289609
lstm_attention,0.4855332047395977,0.3949837723854354,0.47166513562112083,0.5889295479727936,0.44846491228070173,0.3668834925944064,0.4264865078314312,0.5727370778931431
