ticker,cap_group,end_date,year,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueNet,CostOfRevenue,CostOfGoodsAndServicesSold,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,OperatingExpenses,OperatingIncomeLoss,InterestExpense,InterestAndDebtExpense,NonoperatingIncomeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,DepreciationAndAmortization,DepreciationDepletionAndAmortization,AmortizationOfIntangibleAssets,ShareBasedCompensation,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,ShortTermInvestments,AvailableForSaleSecuritiesCurrent,AccountsReceivableNetCurrent,InventoryNet,PrepaidExpenseAndOtherAssetsCurrent,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill,LongTermInvestments,OtherAssetsNoncurrent,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,DeferredRevenueCurrent,ShortTermBorrowings,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoncurrent,DeferredTaxLiabilitiesNoncurrent,OtherLiabilitiesNoncurrent,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,CommonStocksIncludingAdditionalPaidInCapital,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLossNetOfTax,TreasuryStockValue,CommonStockSharesOutstanding,CommonStockSharesIssued,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInvestments,ProceedsFromSaleAndMaturityOfMarketableSecurities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,ProceedsFromIssuanceOfLongTermDebt,RepaymentsOfLongTermDebt,ProceedsFromRepaymentsOfShortTermDebt,CashAndCashEquivalentsPeriodIncreaseDecrease,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
COHU,small_cap,2019-12-28,2019,,,,,87936000.0,,,,,,,,,,,-17266000.0,,-0.42,-0.42,,,,,,,1077710000.0,439696000.0,,155194000.0,,,904000.0,,130706000.0,,70912000.0,238669000.0,275019000.0,,20030000.0,,148885000.0,,48697000.0,,,,,6517000.0,346518000.0,,,483072000.0,483072000.0,,,42517000.0,-34030000.0,,41395000.0,41395000.0,,,,,,,,,,,,,,,,,
COHU,small_cap,2020-03-28,2020,,,,,82837000.0,,22468000.0,33352000.0,,-13626000.0,4427000.0,,,,-992000.0,-17276000.0,,-0.42,-0.42,41502000.0,41502000.0,,12956000.0,9538000.0,3611000.0,1072155000.0,453799000.0,,171474000.0,,,901000.0,,134859000.0,,64688000.0,237997000.0,261316000.0,,21756000.0,,163717000.0,,53457000.0,,,,,6566000.0,346877000.0,,,464884000.0,464884000.0,,,22755000.0,-34959000.0,,41686000.0,41686000.0,17813000.0,,1465000.0,,-2246000.0,,1584000.0,,,,,,,1133000.0,,15544000.0,
COHU,small_cap,2020-06-27,2020,,,,,83127000.0,,42892000.0,64301000.0,,-14154000.0,7883000.0,,,,-855000.0,-22016000.0,,-0.53,-0.53,41673000.0,41673000.0,,26038000.0,19065000.0,7014000.0,1066583000.0,456250000.0,,162728000.0,,,920000.0,,141811000.0,,65805000.0,238950000.0,252208000.0,,21901000.0,,159041000.0,,60012000.0,,,,,7919000.0,348036000.0,,,466758000.0,466758000.0,,,18015000.0,-33062000.0,,41862000.0,41862000.0,13289000.0,,-2463000.0,,-2582000.0,,7963000.0,,,,,,4345000.0,2162000.0,,,
COHU,small_cap,2020-09-26,2020,,,,,87147000.0,,63389000.0,95664000.0,,-15514000.0,10904000.0,,,-28443000.0,261000.0,-28662000.0,,-0.69,-0.69,41764000.0,41764000.0,,39283000.0,28848000.0,10313000.0,1046353000.0,444818000.0,,169926000.0,,,949000.0,,137879000.0,,64546000.0,244341000.0,238832000.0,,23717000.0,,146903000.0,,49366000.0,,,,,8199000.0,331469000.0,,,474609000.0,474609000.0,,,11369000.0,-21370000.0,,41962000.0,41962000.0,28020000.0,,6398000.0,,-19559000.0,,13559000.0,,,,220000.0,,5878000.0,20246000.0,,,
COHU,small_cap,2020-12-26,2020,,,,,111114000.0,,,,,,,,,,,14861000.0,,0.35,0.34,,,,,,,1090346000.0,485046000.0,,149358000.0,,20669000.0,20669000.0,,142500000.0,,66916000.0,252304000.0,233685000.0,,23192000.0,,174453000.0,,67923000.0,,,,,8389000.0,311551000.0,,,512288000.0,,,,26230000.0,-4326000.0,,42190000.0,42190000.0,,,,,,,,,,,,,,,,,
COHU,small_cap,2021-03-27,2021,,,,,,,23152000.0,32624000.0,,35730000.0,2575000.0,,,31182000.0,3575000.0,27607000.0,,0.63,0.61,43756000.0,45482000.0,,12567000.0,9244000.0,3523000.0,1258755000.0,675718000.0,,143119000.0,,,147926000.0,,160871000.0,,65776000.0,246735000.0,221378000.0,,19231000.0,,208033000.0,,97712000.0,,,,,8851000.0,211182000.0,,,749474000.0,,,,53837000.0,-14758000.0,,48411000.0,48411000.0,6188000.0,,-129857000.0,,116548000.0,,2700000.0,,,,0.0,,,101922000.0,,,
COHU,small_cap,2021-06-26,2021,,,,,,,46575000.0,65458000.0,,150247000.0,4406000.0,,,143937000.0,21234000.0,122703000.0,,2.66,2.58,46155000.0,47478000.0,,24997000.0,18289000.0,7029000.0,1371732000.0,826597000.0,,353896000.0,,,80193000.0,,155850000.0,,65021000.0,226577000.0,203417000.0,,23270000.0,,321312000.0,,102111000.0,,,,,105634000.0,111744000.0,,,850231000.0,,,,148933000.0,-14240000.0,,48596000.0,48596000.0,35712000.0,,55182000.0,,113413000.0,,5549000.0,,,,0.0,,,104811000.0,,,
COHU,small_cap,2021-09-25,2021,,,,,,,69367000.0,95835000.0,,183963000.0,5372000.0,,,175062000.0,28626000.0,146436000.0,,3.12,3.04,46992000.0,48137000.0,,37102000.0,27168000.0,10743000.0,1272868000.0,743507000.0,,288785000.0,,76020000.0,,,157512000.0,,65158000.0,223683000.0,193066000.0,,21180000.0,,202152000.0,,86575000.0,,,,,7449000.0,110887000.0,,,871979000.0,,,,172666000.0,-19413000.0,,48684000.0,48684000.0,70103000.0,,56717000.0,,12569000.0,,8924000.0,,,,0.0,,,205879000.0,,,
COHU,small_cap,2021-12-25,2021,,,,,,,,,,,,,,,,,,,,,,,,,,1259044000.0,750793000.0,,290201000.0,,89704000.0,,,161053000.0,,63957000.0,219791000.0,177320000.0,,22123000.0,,192459000.0,,85230000.0,,,,,14397000.0,103393000.0,,,882502000.0,,,,193555000.0,-27262000.0,7324000.0,48756000.0,48756000.0,,,,,,,,,,,,,,,,,
COHU,small_cap,2022-03-26,2022,,,,,,,23106000.0,31246000.0,,27693000.0,981000.0,,,27863000.0,6294000.0,21569000.0,,0.44,0.44,48778000.0,49569000.0,,11667000.0,8535000.0,3422000.0,1243345000.0,752156000.0,,267068000.0,,91502000.0,,,160363000.0,,63912000.0,216234000.0,166743000.0,,19430000.0,,176469000.0,,85631000.0,,,,,6358000.0,101959000.0,,,886897000.0,,,,215124000.0,-36574000.0,13712000.0,49025000.0,49025000.0,1991000.0,,-4775000.0,,-19131000.0,,2669000.0,0.0,,,5949000.0,,,9056000.0,,,-1218000.0
COHU,small_cap,2022-06-25,2022,,,,,,,46266000.0,63777000.0,,64607000.0,1900000.0,,,65529000.0,15192000.0,50337000.0,,1.04,1.02,48626000.0,49248000.0,,23199000.0,16876000.0,7355000.0,1239404000.0,767296000.0,,280586000.0,,87495000.0,,,162666000.0,,62147000.0,211534000.0,155797000.0,,19111000.0,,194268000.0,,80954000.0,,,,,16178000.0,75378000.0,,,894452000.0,,,,243892000.0,-49385000.0,27702000.0,49152000.0,49152000.0,45799000.0,,-3923000.0,,-48903000.0,,5724000.0,0.0,,,20378000.0,,,25198000.0,,,-2588000.0
COHU,small_cap,2022-09-24,2022,,,,,,,69638000.0,96541000.0,,98314000.0,2928000.0,,,100604000.0,25385000.0,75219000.0,,1.55,1.53,48412000.0,49008000.0,,34645000.0,25082000.0,11095000.0,1197915000.0,749331000.0,,232398000.0,,136983000.0,,,165244000.0,,61789000.0,202714000.0,142777000.0,,18965000.0,,170757000.0,,69613000.0,,,,,6029000.0,72977000.0,,,881811000.0,,,,268774000.0,-72406000.0,45402000.0,49187000.0,49187000.0,85295000.0,,-58325000.0,,-78685000.0,,10700000.0,0.0,,,38078000.0,,,36935000.0,,,-6088000.0
COHU,small_cap,2022-12-31,2022,,,,,,,,,,,,,,,,,,,,,,,,,,1227414000.0,764851000.0,,242341000.0,,143235000.0,,,170141000.0,,65011000.0,213539000.0,140104000.0,,21105000.0,,160872000.0,,51763000.0,,,,,6311000.0,72664000.0,,,928841000.0,,,,290402000.0,-40012000.0,,49276000.0,49276000.0,,,,,,,,,,,,,,,,,
COHU,small_cap,2023-04-01,2023,,,,,,,22510000.0,34189000.0,,19877000.0,1128000.0,,,20658000.0,4973000.0,15685000.0,,0.33,0.33,47343000.0,48171000.0,,12091000.0,8754000.0,3914000.0,1187599000.0,709496000.0,,226649000.0,,97646000.0,,,176189000.0,,67208000.0,223552000.0,143946000.0,,21679000.0,,145028000.0,,54586000.0,,,,,6421000.0,37719000.0,,,938779000.0,,,,306087000.0,-37009000.0,,49283000.0,49283000.0,16485000.0,,14285000.0,,-47373000.0,,5075000.0,26933000.0,,,3481000.0,,,35290000.0,,,911000.0
COHU,small_cap,2023-07-01,2023,,,,,,,44976000.0,66987000.0,,35536000.0,1855000.0,,,37677000.0,11408000.0,26269000.0,,0.55,0.55,47481000.0,48099000.0,,24458000.0,17760000.0,8346000.0,1188065000.0,722291000.0,,275290000.0,,97027000.0,,,173753000.0,,66626000.0,224291000.0,135300000.0,,19718000.0,,138402000.0,,45677000.0,,,,,6261000.0,36457000.0,,,953393000.0,,,,316671000.0,-36559000.0,,49350000.0,49350000.0,69630000.0,,12759000.0,,-50012000.0,,8140000.0,26331000.0,,,6180000.0,,,36458000.0,,,572000.0
COHU,small_cap,2023-09-30,2023,,,,,,,66454000.0,99403000.0,,42938000.0,2628000.0,,,46313000.0,16129000.0,30184000.0,,0.64,0.63,47525000.0,48102000.0,,36634000.0,26617000.0,12680000.0,1167518000.0,718567000.0,,293386000.0,,94180000.0,,,166673000.0,,66605000.0,220684000.0,125008000.0,,19367000.0,,128444000.0,,36931000.0,,,,,6174000.0,35189000.0,,,946236000.0,,,,320586000.0,-46965000.0,,49350000.0,49350000.0,98769000.0,,12255000.0,,-56007000.0,,12148000.0,26331000.0,,,10855000.0,,,37467000.0,,,-3972000.0
COHU,small_cap,2023-12-30,2023,,,,,,,,,,,,,,,,,,,,,,,,,,1150352000.0,638818000.0,,245524000.0,,90174000.0,,,155793000.0,,69085000.0,241658000.0,151770000.0,,32243000.0,,103421000.0,,33600000.0,,,,,6324000.0,34303000.0,,,950170000.0,,,,318558000.0,-34779000.0,,49429000.0,49429000.0,,,,,,,,,,,,,,,,,
COHU,small_cap,2024-03-30,2024,,,,,,,22336000.0,35082000.0,,-17973000.0,289000.0,,,-16335000.0,-1700000.0,-14635000.0,,-0.31,-0.31,47134000.0,47134000.0,,13224000.0,9795000.0,4628000.0,1074448000.0,572917000.0,,191065000.0,,80257000.0,,,151587000.0,,76414000.0,238322000.0,140932000.0,,29928000.0,,91095000.0,,30088000.0,,,,,2803000.0,8024000.0,,,915357000.0,,,,303923000.0,-44287000.0,,49429000.0,49429000.0,-13964000.0,,6817000.0,,-44427000.0,,3327000.0,,,,10698000.0,,,29617000.0,,,-2885000.0
COHU,small_cap,2024-06-29,2024,,,,,,,43678000.0,67200000.0,,-34272000.0,433000.0,,,-30818000.0,-414000.0,-30404000.0,,-0.65,-0.65,47049000.0,47049000.0,,26385000.0,19543000.0,10211000.0,1039032000.0,546125000.0,,203068000.0,,59329000.0,,,146074000.0,,74907000.0,237476000.0,130922000.0,,34706000.0,,78563000.0,,21631000.0,,,,,2378000.0,7592000.0,,,896210000.0,,,,288154000.0,-46953000.0,,49507000.0,49507000.0,-12868000.0,,26019000.0,,-51689000.0,,5342000.0,,,,18886000.0,,,30224000.0,,,-3918000.0
COHU,small_cap,2024-09-28,2024,,,,,,,64002000.0,97497000.0,,-50041000.0,519000.0,,,-45643000.0,2817000.0,-48460000.0,,-1.03,-1.03,46971000.0,46971000.0,,39538000.0,29334000.0,15459000.0,1032346000.0,542454000.0,,189262000.0,,79976000.0,,,144125000.0,,76666000.0,242867000.0,122624000.0,,33668000.0,,84975000.0,,23445000.0,,,,,2606000.0,7914000.0,,,884538000.0,,,,270098000.0,-37603000.0,,49507000.0,49507000.0,4495000.0,,3675000.0,,-59894000.0,,7594000.0,,,,26954000.0,,,30354000.0,,,-4538000.0
COHU,small_cap,2024-12-28,2024,,,,,,,,,,,,,,,,,,,,,,,,,,999415000.0,534307000.0,,206407000.0,,55685000.0,,,141861000.0,,74786000.0,234639000.0,110717000.0,,31058000.0,,85184000.0,,30554000.0,,,,,1748000.0,7052000.0,,,856891000.0,,,,248740000.0,-51155000.0,,49601000.0,49601000.0,,,,,,,,,,,,,,,,,
CRM,large_cap,2010-01-31,2010,354049000.0,,,,,285990000.0,,,,25519000.0,,,,,,20394000.0,,0.16,0.16,,,,,,,2460201000.0,1706159000.0,,1011306000.0,,,,320956000.0,,,89711000.0,48955000.0,6613000.0,,39765000.0,1403535000.0,908130000.0,,14791000.0,194738000.0,690177000.0,,,,,,,1043802000.0,1056666000.0,,938544000.0,106561000.0,-1430000.0,,,,,,,,,,,,,,,,,,,,
CRM,large_cap,2010-04-30,2010,376813000.0,,,71581000.0,,305232000.0,40122000.0,,272182000.0,33050000.0,7060000.0,,,,12016000.0,17745000.0,,0.14,0.13,128032000.0,132251000.0,14505000.0,,,26468000.0,2488097000.0,1263752000.0,,690794000.0,,,,183612000.0,,,86710000.0,47749000.0,,,41727000.0,1339730000.0,838100000.0,,13133000.0,171612000.0,647454000.0,,,,,,,1134510000.0,1148367000.0,,1010005000.0,124306000.0,70000.0,,,,143183000.0,,-508133000.0,,43613000.0,,11690000.0,0.0,,,,,,,,-320512000.0,
CRM,large_cap,2010-07-31,2010,394372000.0,,,149371000.0,,316582000.0,83052000.0,,559082000.0,29682000.0,14245000.0,,,,24900000.0,14744000.0,,0.11,0.11,128747000.0,133437000.0,32298000.0,,2000000.0,53083000.0,2698476000.0,1112136000.0,,409925000.0,,,,228550000.0,,,100946000.0,184539000.0,9166000.0,,53357000.0,1442921000.0,928566000.0,,20745000.0,236034000.0,662897000.0,,,,,51100000.0,,1240626000.0,1255555000.0,,1093591000.0,139050000.0,7855000.0,,,,219279000.0,,-923497000.0,,98519000.0,,39521000.0,151503000.0,,,,,,,,-601381000.0,
CRM,large_cap,2010-10-31,2010,429087000.0,,,231502000.0,,346956000.0,130357000.0,,870882000.0,35156000.0,21619000.0,,,,41092000.0,21072000.0,,0.16,0.15,129461000.0,135007000.0,52008000.0,,3000000.0,78715000.0,2740694000.0,1192936000.0,,630303000.0,,,,258764000.0,,,116078000.0,187038000.0,8716000.0,,69194000.0,1528228000.0,993045000.0,,23320000.0,287627000.0,672454000.0,,,,,51100000.0,,1210288000.0,1212466000.0,,1041005000.0,160122000.0,9030000.0,,,,293319000.0,,-679781000.0,,3364000.0,,60311000.0,155337000.0,,,,,,,,-381003000.0,
CRM,large_cap,2011-01-31,2011,456867000.0,,,,,364556000.0,,,,-391000.0,,,,,,10913000.0,,0.08,0.08,,,,,,,3091165000.0,1074924000.0,,424292000.0,,,,426943000.0,,,387174000.0,396081000.0,31660000.0,,104371000.0,1814674000.0,1276466000.0,,18106000.0,345121000.0,913239000.0,,,,,51100000.0,,1276491000.0,,,1098604000.0,171035000.0,6719000.0,,,,,,,,,,,,,,,,,,,,
CRM,large_cap,2011-04-30,2011,504364000.0,,,103066000.0,,401298000.0,65292000.0,,404101000.0,-2803000.0,3671000.0,,,,251000.0,530000.0,,0.0,0.0,133454000.0,141062000.0,29593000.0,14800000.0,1200000.0,47558000.0,3128068000.0,1188129000.0,,664612000.0,,,,270816000.0,,,446268000.0,406889000.0,30620000.0,,109595000.0,1775795000.0,1685212000.0,,16969000.0,295970000.0,893904000.0,,,,,,,1255642000.0,,,1083867000.0,171565000.0,76000.0,,,,139518000.0,,79362000.0,,27958000.0,,27314000.0,13335000.0,,,,,,,,240320000.0,
CRM,large_cap,2011-07-31,2011,546002000.0,,,223976000.0,,425092000.0,138685000.0,,844941000.0,-15748000.0,7517000.0,,,,-13194000.0,-4268000.0,,-0.03,-0.03,134273000.0,134273000.0,69832000.0,,3500000.0,102152000.0,3421328000.0,1114822000.0,,449794000.0,,,,342397000.0,,,470070000.0,671570000.0,47114000.0,,145500000.0,1912433000.0,1814057000.0,,22321000.0,389853000.0,917755000.0,,,,,51100000.0,,1418123000.0,,,1243472000.0,167297000.0,7219000.0,,,,222451000.0,,-242566000.0,,48377000.0,,72365000.0,298670000.0,,,,,,,,25502000.0,
CRM,large_cap,2011-10-31,2011,584260000.0,,,352541000.0,,455695000.0,214734000.0,,1310793000.0,-10157000.0,11376000.0,,,,-18288000.0,-3756000.0,,-0.03,-0.03,134824000.0,134824000.0,111385000.0,,5200000.0,159158000.0,3511278000.0,1148240000.0,,502987000.0,,,,312331000.0,,,504827000.0,732062000.0,45410000.0,,156418000.0,1928118000.0,1832589000.0,,28265000.0,409150000.0,905055000.0,,,,,51100000.0,,1498389000.0,,,1330735000.0,163541000.0,3977000.0,,,,351160000.0,,-332354000.0,,63378000.0,,107043000.0,364785000.0,,,,,,,,78695000.0,
CRM,large_cap,2012-01-31,2012,631913000.0,,,,,495568000.0,,,,-6377000.0,,,,,,-4078000.0,,-0.03,-0.03,,,,,,,4164154000.0,1672222000.0,,607284000.0,,,,683745000.0,,57135000.0,527946000.0,785381000.0,46110000.0,,155149000.0,2498053000.0,2323471000.0,,33258000.0,502442000.0,1291622000.0,,,,,,,1587360000.0,,,1415077000.0,159463000.0,12683000.0,,,,,,,,,,,,,,,,,,,,
CRM,large_cap,2012-04-30,2012,695467000.0,,,151551000.0,,543916000.0,94776000.0,,566165000.0,-22249000.0,6370000.0,,,,-5393000.0,-19475000.0,,-0.04,-0.04,552600000.0,552600000.0,49441000.0,22400000.0,3400000.0,81266000.0,4156092000.0,1323033000.0,,440785000.0,,,,371395000.0,,,549732000.0,831004000.0,43684000.0,,22191000.0,2346323000.0,1676852000.0,,19752000.0,399731000.0,1257369000.0,,,,,51100000.0,,1809769000.0,,,1659446000.0,139988000.0,10197000.0,,,,213212000.0,,-474987000.0,,97036000.0,,44721000.0,48913000.0,,,,,,,,-166499000.0,
CRM,large_cap,2012-07-31,2012,731649000.0,,,313969000.0,,569231000.0,194218000.0,,1148862000.0,-13466000.0,14403000.0,,,,-9596000.0,-9829000.0,,-0.02,-0.02,555156000.0,555156000.0,99440000.0,,5800000.0,166683000.0,4453570000.0,1853125000.0,,1000730000.0,,,,446917000.0,,,556776000.0,840531000.0,41311000.0,,148039000.0,2494899000.0,2329167000.0,,69339000.0,482888000.0,1268407000.0,,,,,51100000.0,,1892314000.0,,,1742286000.0,130159000.0,19730000.0,,,,349409000.0,,-102701000.0,,138083000.0,,74025000.0,58991000.0,,,,,,,,393446000.0,
CRM,large_cap,2012-08-13,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000730000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM,large_cap,2012-10-31,2012,788398000.0,,,500217000.0,,602150000.0,308292000.0,,1805200000.0,-54188000.0,22593000.0,,,,147850000.0,-220297000.0,,-0.39,-0.39,559836000.0,559836000.0,159400000.0,,8800000.0,271795000.0,4642290000.0,1257285000.0,,521720000.0,,,,418590000.0,,95100000.0,583839000.0,1525154000.0,51447000.0,,153800000.0,2498676000.0,2323216000.0,,57940000.0,524267000.0,1226118000.0,,,,,51100000.0,,2083615000.0,,,2149962000.0,-90138000.0,23649000.0,,,,455324000.0,,-760600000.0,,210062000.0,,125079000.0,574751000.0,,,,,,,,-85564000.0,
CRM,large_cap,2013-01-31,2013,834681000.0,,,,,651319000.0,,,,-20807000.0,,,,,,-20844000.0,,-0.04,-0.04,,,,,,,5528956000.0,2015880000.0,,747245000.0,,,,872634000.0,,104813000.0,604669000.0,1529378000.0,49354000.0,,168960000.0,3157711000.0,2917624000.0,,14535000.0,597706000.0,1798640000.0,,,0.0,0.0,,175732000.0,2317633000.0,,,2410892000.0,-110982000.0,17137000.0,,,,,,,,,,,,,,,,,,,,
CRM,large_cap,2013-04-30,2013,892633000.0,,,208994000.0,,683639000.0,131939000.0,,728179000.0,-44540000.0,11883000.0,,,,13778000.0,-67721000.0,,-0.12,-0.12,588385000.0,588385000.0,62297000.0,,2500000.0,114729000.0,6513709000.0,2876039000.0,,1927990000.0,,,,502609000.0,,119425000.0,623684000.0,1544584000.0,50494000.0,,190623000.0,4003833000.0,2729687000.0,,31522000.0,527080000.0,1674797000.0,,,,,,,2462796000.0,,,2627183000.0,-178703000.0,13726000.0,,,,283189000.0,,-219276000.0,,1123641000.0,,54010000.0,22161000.0,,,,,,,,1180745000.0,
CRM,large_cap,2013-07-31,2013,957094000.0,,,426711000.0,,739377000.0,280018000.0,,1507413000.0,-39857000.0,31539000.0,,,,-119629000.0,76603000.0,,0.13,0.12,591210000.0,623865000.0,140263000.0,,,225205000.0,7969896000.0,1698165000.0,,579881000.0,,,,599543000.0,,165008000.0,1184861000.0,3503681000.0,,,633428000.0,5110748000.0,3063315000.0,,66859000.0,,1734841000.0,,,30000000.0,270000000.0,,687355000.0,2818649000.0,,,,-102100000.0,11239000.0,,,,466372000.0,,-2074596000.0,,1448950000.0,,156559000.0,2614732000.0,,,,,,,,-167364000.0,
CRM,large_cap,2013-10-31,2013,1076034000.0,,,694898000.0,,807847000.0,450708000.0,,2413191000.0,-97931000.0,54468000.0,,,,-119236000.0,-124434000.0,,-0.21,-0.21,594346000.0,594346000.0,254610000.0,,,366741000.0,8097634000.0,1800886000.0,,651750000.0,,,,604045000.0,,208708000.0,1205349000.0,3495021000.0,,,599511000.0,5151547000.0,3096689000.0,,45162000.0,,1686262000.0,,,30000000.0,262500000.0,,702918000.0,2912356000.0,,,,-226534000.0,16806000.0,,,,604231000.0,,-2238118000.0,,1541298000.0,,229261000.0,2614732000.0,,,,,,,,-95495000.0,
CRM,large_cap,2014-01-31,2014,1145242000.0,,,,,871712000.0,,,,-103746000.0,,,,,,-116623000.0,,-0.19,-0.19,,,,,,,9152930000.0,2680252000.0,,781635000.0,,,,1360837000.0,,158962000.0,1240746000.0,3500823000.0,,,613490000.0,6087715000.0,3980188000.0,,64988000.0,,2473705000.0,,,30000000.0,255000000.0,,757187000.0,3038510000.0,,,,-343157000.0,17680000.0,,,,,,,,,,,,,,,,,,,,
CRM,large_cap,2014-04-30,2014,1226772000.0,,,292305000.0,,934467000.0,188358000.0,,989808000.0,-55341000.0,20359000.0,,,,12142000.0,-96911000.0,,-0.16,-0.16,612512000.0,612512000.0,110808000.0,,,131092000.0,8641344000.0,2039381000.0,,827891000.0,,,,684155000.0,,187854000.0,1251000000.0,3500823000.0,,,600090000.0,5499487000.0,3359954000.0,,36723000.0,,2288324000.0,,,30000000.0,247500000.0,,802927000.0,3131914000.0,,,,-440068000.0,15298000.0,,,,473087000.0,,-210370000.0,,-219150000.0,,60098000.0,0.0,,,,,,,,46256000.0,
CRM,large_cap,2014-07-31,2014,1318551000.0,,,600136000.0,,1010720000.0,391467000.0,,2033962000.0,-33434000.0,38673000.0,,,,20261000.0,-61088000.0,,-0.1,-0.1,614797000.0,614797000.0,218404000.0,,,273503000.0,9009828000.0,2304687000.0,,774725000.0,,,,834323000.0,,183915000.0,1189930000.0,3492713000.0,,,604556000.0,5703082000.0,3502738000.0,,83604000.0,,2316574000.0,,,30000000.0,240000000.0,,865277000.0,3300568000.0,,,,-501156000.0,11163000.0,,,,718980000.0,,-496846000.0,,-226069000.0,,131674000.0,0.0,,,,,,,,-6910000.0,
CRM,large_cap,2014-10-31,2014,1383655000.0,,,933347000.0,,1050444000.0,586927000.0,,3106448000.0,-22042000.0,56355000.0,,,,37336000.0,-38924000.0,,-0.06,-0.06,619748000.0,619748000.0,330358000.0,,,412963000.0,9412663000.0,2439155000.0,,846325000.0,,,,794590000.0,,192954000.0,1109816000.0,3782569000.0,,,595163000.0,5620167000.0,3308352000.0,,88794000.0,,2192655000.0,,,0.0,0.0,,915810000.0,3790614000.0,,,,-540080000.0,-1251000.0,,,,841491000.0,,-553112000.0,,-206176000.0,,205100000.0,-38071000.0,,,,,,,,64690000.0,
CRM,large_cap,2015-01-31,2015,1444608000.0,,,,,1088685000.0,,,,-34816000.0,,,,,,-65765000.0,,-0.1,-0.1,,,,,,,10654053000.0,3514544000.0,,908117000.0,,,87312000.0,1905506000.0,,245026000.0,1125866000.0,3782660000.0,,,449145000.0,6678870000.0,4390103000.0,,95537000.0,,3286768000.0,,,,,,894468000.0,3975183000.0,,,,-605845000.0,-24108000.0,,650596000.0,650596000.0,,,,,,,,,,,,,,,,,
CRM,large_cap,2015-04-30,2015,1511167000.0,,,,,1129365000.0,222128000.0,,1098260000.0,31105000.0,16675000.0,,,,13981000.0,4092000.0,,0.01,0.01,653809000.0,664310000.0,127927000.0,,,142560000.0,10365682000.0,2604825000.0,,941956000.0,,,77059000.0,926381000.0,,310983000.0,1737094000.0,3791583000.0,,,754378000.0,6130479000.0,3960876000.0,,60227000.0,,3032771000.0,,,,,,870051000.0,4235203000.0,,,,-601753000.0,-28352000.0,,,,735081000.0,,-536123000.0,,-161810000.0,,71087000.0,12470000.0,,,,,,,,33839000.0,
CRM,large_cap,2015-07-31,2015,1634684000.0,,,,,1229300000.0,456228000.0,,2307736000.0,19824000.0,34771000.0,,,,21791000.0,-852000.0,,0.0,0.0,656636000.0,672231000.0,259602000.0,,,290339000.0,10793977000.0,2916787000.0,,1089351000.0,,,81118000.0,1067799000.0,,330291000.0,1725184000.0,3804288000.0,,,415432000.0,6258174000.0,4112994000.0,,99286000.0,,3014940000.0,,,,,,843517000.0,4535803000.0,,,,-602605000.0,-28144000.0,,,,1039359000.0,,-769900000.0,,-88085000.0,,135970000.0,30921000.0,,,,,,,,181234000.0,
CRM,large_cap,2015-10-31,2015,1711967000.0,,,,,1288284000.0,695440000.0,,3552586000.0,43434000.0,53020000.0,,,,90339000.0,-25157000.0,,-0.04,-0.04,659160000.0,659160000.0,393838000.0,,,434656000.0,10911966000.0,2938773000.0,,1223318000.0,,,134687000.0,1060726000.0,,311909000.0,1742142000.0,3849054000.0,,,396727000.0,6162012000.0,3976978000.0,,88755000.0,,2827285000.0,,,,,,878048000.0,4749954000.0,,,,-627762000.0,-33325000.0,,,,1201873000.0,,-882646000.0,,-1014000.0,,216011000.0,58680000.0,,,,,,,,315201000.0,
