ticker,year,price_open,price_close,price_high,price_low,price_avg,volume_total,volume_avg,trading_days,annual_return,cap_group
AAPL,2010,6.395003586660348,9.664864540100098,9.787714572433865,5.7004604404886186,7.785661349220882,151024927200.0,599305266.6666666,252,0.5113149522324762,large_cap
AAPL,2011,9.757153932056454,12.135018348693848,12.785216612223188,9.303518008329084,10.90666391357543,124059339600.0,492298966.6666667,252,0.24370471483749823,large_cap
AAPL,2012,12.266855189830054,16.087013244628906,21.216721771720497,12.254869713304085,17.30206266784668,131964204400.0,527856817.6,250,0.31142114223097606,large_cap
AAPL,2013,16.741479468863204,17.385164260864258,17.822718790081606,11.70906969027081,14.481553686989677,102421569600.0,406434800.0,252,0.03844850111354958,large_cap
AAPL,2014,17.21968436386492,24.44744300842285,26.522757824070702,15.294367992485544,20.26739236286708,63657952400.0,252610922.2222222,252,0.4197381608065478,large_cap
AAPL,2015,24.67115267325441,23.710681915283203,29.916117823343757,20.63541912283421,26.819586958203995,52264199600.0,207397617.46031746,252,-0.03893092352399241,large_cap
AAPL,2016,23.113733168601307,26.669870376586914,27.19113821057531,20.38657942691291,23.855402923765638,38729911200.0,153690123.80952382,252,0.1538538660996751,large_cap
AAPL,2017,26.665257396216138,39.595237731933594,41.46000256744993,26.425776468979528,34.98139664851337,27243106000.0,108538270.91633466,251,0.48489988840506193,large_cap
AAPL,2018,39.812842847577855,37.460975646972656,55.25297609687015,34.81302014550831,44.597007888246814,34156144800.0,136080258.16733068,251,-0.05907307874519896,large_cap
AAPL,2019,36.784145853458895,70.78545379638672,70.86259672343512,33.72295119720163,49.90212607005286,28254942800.0,112122788.8888889,252,0.9243468117591374,large_cap
AAPL,2020,71.40977771923563,129.04666137695312,134.97915839822994,51.372084613414366,92.43411297100806,39863855600.0,157564646.64031622,253,0.8071287364082056,large_cap
AAPL,2021,129.85383848203446,173.75897216796875,178.22108688608395,113.18805136504277,137.59437349107532,22812206100.0,90524627.38095239,252,0.33811194339094297,large_cap
AAPL,2022,174.01340208653673,127.87931060791016,179.01371442958575,123.88338225804115,151.94531286475194,22065504500.0,87910376.4940239,251,-0.26511803645838794,large_cap
AAPL,2023,128.2237854341601,190.5504608154297,197.567574144968,122.21021915687207,170.35141693115236,14805886900.0,59223547.6,250,0.4860773308964026,large_cap
AAPL,2024,185.22577720716953,250.8297882080078,258.6868812844183,162.60021611822233,205.4737274048338,14351427800.0,57177003.187250994,251,0.3541840233579485,large_cap
AEIS,2010,15.001317874613893,13.373723983764648,18.168260159894693,10.71662797332101,13.95146502010406,143792100.0,570603.5714285715,252,-0.10849672705113156,small_cap
AEIS,2011,13.609035674611425,10.520528793334961,16.668129042845308,7.412414175717312,12.192401687304178,137107800.0,544078.5714285715,252,-0.2269453145044128,small_cap
AEIS,2012,10.883309750112124,13.54040241241455,14.2463488327316,10.098925995688484,12.271037174224853,81483000.0,325932.0,250,0.24414380581927775,small_cap
AEIS,2013,13.726692283381052,22.41373062133789,26.03169570383793,13.216845621897779,18.631691902402846,97172300.0,385604.3650793651,252,0.6328573671367472,small_cap
AEIS,2014,22.286264929067492,23.237327575683594,28.580936235126114,15.68765037647192,20.866053709908137,118794200.0,471405.55555555556,252,0.042674833564221526,small_cap
AEIS,2015,23.36479504546985,27.678897857666016,29.453564396311652,20.7076978500597,26.205691269465856,79653600.0,316085.71428571426,252,0.18464115793870906,small_cap
AEIS,2016,26.992566834353394,53.68117904663086,56.17159022178759,23.776593633190732,38.99038743215894,80609600.0,319879.3650793651,252,0.9887393213123739,small_cap
AEIS,2017,53.96552195363523,66.16268920898438,93.14541671697798,52.739924182560095,70.61833466001715,106693000.0,425071.71314741037,251,0.2260177760502049,small_cap
AEIS,2018,66.7215268199409,42.0919303894043,76.46750428185516,37.98372933563878,57.482466207557465,105391400.0,419886.0557768924,251,-0.3691401801551043,small_cap
AEIS,2019,41.25852298100333,69.81005096435547,70.84935465781207,39.96429458735378,53.60892781757173,73641600.0,292228.5714285714,252,0.6920152715233681,small_cap
AEIS,2020,70.59441790443981,95.07698059082031,102.39133835210843,32.728363110651195,68.23073893008025,71959300.0,284424.11067193677,253,0.34680592903990437,small_cap
AEIS,2021,97.04773569032281,89.66571807861328,123.09903863188694,80.1904561495858,97.3403399331229,63921100.0,253655.15873015873,252,-0.0760658407864907,small_cap
AEIS,2022,89.83312230838915,84.85484313964844,96.8032640341225,66.67746906638614,82.35734804313022,48311900.0,192477.68924302788,251,-0.05541696693621223,small_cap
AEIS,2023,85.75503785822372,108.18392944335938,125.27983588866265,81.22131387872516,98.85615936279297,54397000.0,217588.0,250,0.26154605193244373,small_cap
AEIS,2024,106.71392870286508,114.67244720458984,124.09307748193788,88.60432345513654,104.93942804830483,53437100.0,212896.812749004,251,0.0745780667853071,small_cap
AMD,2010,9.789999961853027,8.180000305175781,10.239999771118164,5.53000020980835,7.931388904177953,6512252400.0,25842271.42857143,252,-0.16445348957616435,large_cap
AMD,2011,8.4399995803833,5.400000095367432,9.579999923706055,4.309999942779541,7.139404751005626,5528459600.0,21938331.746031746,252,-0.36018953035040413,large_cap
AMD,2012,5.53000020980835,2.4000000953674316,8.350000381469727,1.809999942779541,5.071080005645752,5179689700.0,20718758.8,250,-0.5660036158568957,large_cap
AMD,2013,2.549999952316284,3.869999885559082,4.650000095367432,2.259999990463257,3.3785714393570307,6327252500.0,25108144.84126984,252,0.5176470423239734,large_cap
AMD,2014,3.8499999046325684,2.6700000762939453,4.800000190734863,2.3499999046325684,3.662063511591109,5977754800.0,23721249.206349205,252,-0.30649346949821243,large_cap
AMD,2015,2.6700000762939453,2.869999885559082,3.369999885559082,1.6100000143051147,2.331746020014324,3435937500.0,13634672.61904762,252,0.07490629346450928,large_cap
AMD,2016,2.7699999809265137,11.34000015258789,12.420000076293945,1.75,5.254920634485426,7738568600.0,30708605.555555556,252,3.093862899159613,large_cap
AMD,2017,11.420000076293945,10.279999732971191,15.649999618530273,9.420000076293945,12.411673283671952,16355523900.0,65161449.800796814,251,-0.09982489804787376,large_cap
AMD,2018,10.420000076293945,18.459999084472656,34.13999938964844,9.039999961853027,17.214501962243798,21237360800.0,84610999.20318726,251,0.7715929893772397,large_cap
AMD,2019,18.010000228881836,45.86000061035156,47.310001373291016,16.940000534057617,29.941071457333035,16707875700.0,66301094.047619045,252,1.546363133122448,large_cap
AMD,2020,46.86000061035156,91.70999908447266,97.9800033569336,36.75,65.61972329362108,15577980100.0,61573043.87351779,253,0.9571062289788692,large_cap
AMD,2021,92.11000061035156,143.89999389648438,164.4600067138672,72.5,101.14587302435012,12915228400.0,51250906.34920635,252,0.5622624355982526,large_cap
AMD,2022,145.13999938964844,64.7699966430664,152.4199981689453,54.56999969482422,90.88764930816285,22945447900.0,91416127.09163347,251,-0.5537412366305557,large_cap
AMD,2023,66.0,147.41000366210938,151.0500030517578,60.04999923706055,103.02935989379883,15400865000.0,61603460.0,250,1.233484903971354,large_cap
AMD,2024,144.27999877929688,122.44000244140625,227.3000030517578,117.9000015258789,157.81139449769282,13379519100.0,53304856.97211155,251,-0.15137230747623565,large_cap
BELFB,2010,17.645966304582796,19.538047790527344,20.86239436326595,13.201151206336718,17.097290742964972,7233100.0,28702.777777777777,252,0.10722458908091426,small_cap
BELFB,2011,19.717899035357615,15.540881156921387,21.948134379467195,11.063040768242018,16.13001114603073,7328100.0,29079.761904761905,252,-0.21183889170677417,small_cap
BELFB,2012,15.955305131318976,16.460718154907227,17.470627469327205,11.956126588805311,14.91384453201294,7521800.0,30087.2,250,0.03167680087773217,small_cap
BELFB,2013,16.906970366336157,18.252809524536133,19.726050726432717,11.35846006275746,14.725419551607162,7141300.0,28338.492063492064,252,0.0796026212289167,small_cap
BELFB,2014,18.295636796860656,23.70882225036621,25.373813585226202,15.296276059614106,20.307153679075697,9757600.0,38720.63492063492,252,0.2958730277392916,small_cap
BELFB,2015,23.76952891964529,15.194148063659668,23.873591795764177,14.201122635886533,17.86618938143291,11570000.0,45912.69841269841,252,-0.36077201550671667,small_cap
BELFB,2016,15.071114597065852,27.590776443481445,30.001620267187377,11.748777599520242,18.00405764958215,10599900.0,42063.09523809524,252,0.8307057693565016,small_cap
BELFB,2017,27.724706401558272,22.712804794311523,30.172493083568263,19.37357072266719,24.17688279322894,7954200.0,31690.03984063745,251,-0.18077383885172738,small_cap
BELFB,2018,22.911245535996468,16.831375122070312,26.4187106642584,15.150060126379126,20.057964389542658,5660400.0,22551.394422310757,251,-0.26536621085806567,small_cap
BELFB,2019,16.867925159911255,19.035202026367188,25.471365191830976,8.341869881808021,17.103470469278,10743500.0,42632.93650793651,252,0.1284850890616196,small_cap
BELFB,2020,19.239482623130872,14.306615829467773,20.029411500552808,5.9154558410488605,11.399581618930982,11378600.0,44974.703557312256,253,-0.25639290256862246,small_cap
BELFB,2021,14.668326617190901,12.542869567871094,21.986815233946178,10.204341953461588,14.470604885192145,24767900.0,98285.31746031746,252,-0.14490112640584552,small_cap
