date,Open,High,Low,Close,Volume,ticker,Adj Close,cap_group
2010-01-01,6.3950031605524735,6.459723522929783,5.700460912831994,5.754693984985352,15168994400.0,AAPL,,large_cap
2010-02-01,5.763982817848732,6.147509234712396,5.718438810816006,6.1310296058654785,10776080000.0,AAPL,,large_cap
2010-03-01,6.164888428010294,7.115615175088567,6.155899720435659,7.041306018829346,12154172800.0,AAPL,,large_cap
2010-04-01,7.113514186886008,8.163716729220841,6.973886643620105,7.823038101196289,12367129600.0,AAPL,,large_cap
2010-05-01,7.905438542043938,8.026489440079958,5.970127958542194,7.696896076202393,18082654800.0,AAPL,,large_cap
2010-06-01,7.78109348085823,8.359978432973206,7.2570400871632925,7.536595344543457,16651252800.0,AAPL,,large_cap
2010-07-01,7.619591186840826,7.969859087128758,7.179135388977723,7.707982063293457,15669704400.0,AAPL,,large_cap
2010-08-01,7.8035644662513,7.918621827563478,7.058084712265307,7.284006118774414,9589120800.0,AAPL,,large_cap
2010-09-01,7.414946579078871,8.830998191399727,7.379290977375973,8.502005577087402,11849919200.0,AAPL,,large_cap
2010-10-01,8.573911446523743,9.558195627999874,8.322821384251498,9.01826286315918,12234577600.0,AAPL,,large_cap
2010-11-01,9.055416918247131,9.627111179945887,8.921782094416484,9.322986602783203,9508086000.0,AAPL,,large_cap
2010-12-01,9.44643742505423,9.787716300379644,9.435051221280764,9.664868354797363,6973234800.0,AAPL,,large_cap
2011-01-01,9.7571519502732,10.445102211911024,9.733181800420196,10.167045593261719,10841535600.0,AAPL,,large_cap
2011-02-01,10.22637465548588,10.933500998768162,10.119107036274759,10.583233833312988,9295949600.0,AAPL,,large_cap
2011-03-01,10.650948161087681,10.83671901952757,9.775728468433936,10.442405700683594,11306458800.0,AAPL,,large_cap
2011-04-01,10.520311341094494,10.640762181081497,9.592956287537245,10.490947723388672,9253829200.0,AAPL,,large_cap
2011-05-01,10.479261808917906,10.541884726235725,9.870413977724565,10.422032356262207,6912060400.0,AAPL,,large_cap
2011-06-01,10.453196767756522,10.550875225420322,9.303515648353326,10.057683944702148,9263850400.0,AAPL,,large_cap
2011-07-01,10.066071166659501,12.120036179785863,10.013635907538358,11.69995403289795,10653946800.0,AAPL,,large_cap
2011-08-01,11.918683098993132,11.970219042674765,10.577538814359762,11.530662536621094,16142599200.0,AAPL,,large_cap
2011-09-01,11.560329382020099,12.670159100194065,10.9808434916386,11.425495147705078,11977448000.0,AAPL,,large_cap
2011-10-01,11.397028183309555,12.785214318857124,10.61409497612535,12.128424644470215,13141427600.0,AAPL,,large_cap
