end_date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Salaries And Wages,Average Dilution Earnings,Net Income Discontinuous Operations,Gain On Sale Of Ppe,Provision For Doubtful Accounts,Earnings From Equity Interest Net Of Tax,Other Special Charges,Minority Interests,Gain On Sale Of Business,Total Other Finance Cost,Preferred Stock Dividends,Impairment Of Capital Assets,Otherunder Preferred Stock Dividend,cap_group
2024-05-31,-136141000.0,0.109,22643000000.0,10467000000.0,6139000000.0,12014000000.0,21394000000.0,15255000000.0,-3063000000.0,3514000000.0,451000000.0,11579859000.0,10467000000.0,36890000000.0,15353000000.0,2823000000.0,2744000000.0,3.71,3.82,10467000000.0,10467000000.0,10467000000.0,10467000000.0,10467000000.0,1274000000.0,11741000000.0,-1267000000.0,168000000.0,-3063000000.0,3514000000.0,451000000.0,16071000000.0,21747000000.0,8915000000.0,9822000000.0,37818000000.0,15143000000.0,52961000000.0,52961000000.0,ORCL,-1249000000.0,-1249000000.0,-718000000.0,,-531000000.0,8274000000.0,1548000000.0,1181000000.0,718000000.0,-186000000.0,,3010000000.0,3010000000.0,3010000000.0,3010000000.0,367000000.0,,,,,,,,,,,,,large_cap
2023-05-31,-85408000.0,0.068,19995000000.0,8503000000.0,6108000000.0,11038000000.0,18739000000.0,12631000000.0,-3220000000.0,3505000000.0,285000000.0,9673592000.0,8503000000.0,36181000000.0,13093000000.0,2766000000.0,2696000000.0,3.07,3.15,8503000000.0,8503000000.0,8503000000.0,8503000000.0,8503000000.0,623000000.0,9126000000.0,-1427000000.0,-6000000.0,-3220000000.0,3505000000.0,285000000.0,13773000000.0,22617000000.0,8623000000.0,10412000000.0,36390000000.0,13564000000.0,49954000000.0,49954000000.0,ORCL,-1256000000.0,-1256000000.0,-680000000.0,,-576000000.0,8833000000.0,1579000000.0,1579000000.0,680000000.0,-165000000.0,103000000.0,3582000000.0,3582000000.0,3582000000.0,3582000000.0,363000000.0,,,,,,,,,,,,,large_cap
2022-05-31,-640500000.0,0.122,18776000000.0,6717000000.0,3122000000.0,6905000000.0,13526000000.0,10404000000.0,-2661000000.0,2755000000.0,94000000.0,11326500000.0,6717000000.0,26610000000.0,10926000000.0,2786000000.0,2700000000.0,2.41,2.49,6717000000.0,6717000000.0,6717000000.0,6717000000.0,6717000000.0,932000000.0,7649000000.0,-5520000000.0,-86000000.0,-2661000000.0,2755000000.0,94000000.0,15830000000.0,17733000000.0,7219000000.0,9364000000.0,33563000000.0,8877000000.0,42440000000.0,42440000000.0,ORCL,-5250000000.0,-5250000000.0,-4904000000.0,,-346000000.0,8047000000.0,1317000000.0,1317000000.0,4904000000.0,-184000000.0,4694000000.0,1150000000.0,1150000000.0,1150000000.0,1150000000.0,245000000.0,,,,,,,,,,,,,large_cap
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORCL,,,,,,,,,,,129000000.0,,,,,,,,,,,,,,,,,,large_cap
2024-07-31,-148980000.0,0.156,16702000000.0,10320000000.0,2507000000.0,17166000000.0,15747000000.0,13240000000.0,359000000.0,1006000000.0,1365000000.0,11126020000.0,10320000000.0,40833000000.0,12181000000.0,4062000000.0,4043000000.0,2.54,2.55,10320000000.0,10320000000.0,10320000000.0,10320000000.0,10320000000.0,1914000000.0,12234000000.0,-1095000000.0,-140000000.0,359000000.0,1006000000.0,1365000000.0,12970000000.0,21858000000.0,7983000000.0,13177000000.0,34828000000.0,18975000000.0,53803000000.0,53803000000.0,CSCO,-955000000.0,-955000000.0,-789000000.0,,-166000000.0,10364000000.0,2813000000.0,2813000000.0,789000000.0,,,698000000.0,698000000.0,698000000.0,698000000.0,,,,,,,,,,,,,,large_cap
2023-07-31,-125316000.0,0.177,18179000000.0,12613000000.0,1726000000.0,19801000000.0,17471000000.0,15745000000.0,535000000.0,427000000.0,962000000.0,13195684000.0,12613000000.0,41436000000.0,15031000000.0,4105000000.0,4093000000.0,3.07,3.08,12613000000.0,12613000000.0,12613000000.0,12613000000.0,12613000000.0,2705000000.0,15318000000.0,-779000000.0,-71000000.0,535000000.0,427000000.0,962000000.0,15562000000.0,20191000000.0,7551000000.0,12358000000.0,35753000000.0,21245000000.0,56998000000.0,56998000000.0,CSCO,-708000000.0,-708000000.0,-531000000.0,,-177000000.0,9880000000.0,2478000000.0,2478000000.0,531000000.0,,,282000000.0,282000000.0,282000000.0,282000000.0,,,,,,,,,,,,,,large_cap
2022-07-31,82984000.0,0.184,16343000000.0,11812000000.0,1957000000.0,17665000000.0,16794000000.0,14837000000.0,116000000.0,360000000.0,476000000.0,11443984000.0,11812000000.0,37582000000.0,13969000000.0,4192000000.0,4170000000.0,2.82,2.83,11812000000.0,11812000000.0,11812000000.0,11812000000.0,11812000000.0,2665000000.0,14477000000.0,386000000.0,-65000000.0,116000000.0,360000000.0,476000000.0,13975000000.0,18273000000.0,6774000000.0,11186000000.0,32248000000.0,19309000000.0,51557000000.0,51557000000.0,CSCO,451000000.0,451000000.0,-6000000.0,,457000000.0,9085000000.0,2101000000.0,2101000000.0,6000000.0,,,313000000.0,313000000.0,313000000.0,313000000.0,,,,,,,,,,,,,,large_cap
2024-12-31,-29610000.0,0.21,12317000000.0,6015000000.0,4667000000.0,23639000000.0,12176000000.0,7509000000.0,-965000000.0,1712000000.0,747000000.0,6126390000.0,6023000000.0,52678000000.0,,937200000.0,921800000.0,6.43,6.53,6023000000.0,6023000000.0,6023000000.0,6023000000.0,6015000000.0,-218000000.0,5797000000.0,-3313000000.0,-3172000000.0,-965000000.0,1712000000.0,747000000.0,10074000000.0,25477000000.0,7479000000.0,17910000000.0,35551000000.0,27201000000.0,62753000000.0,62753000000.0,IBM,-141000000.0,-141000000.0,-104000000.0,,-37000000.0,1173000000.0,16737000000.0,16047000000.0,696000000.0,,-996000000.0,1105000000.0,1105000000.0,1105000000.0,1105000000.0,690000000.0,0.0,8000000.0,592000000.0,-21000000.0,,,,,,,,,large_cap
2023-12-31,-8100000.0,0.135,14753000000.0,7514000000.0,4396000000.0,27560000000.0,14693000000.0,10297000000.0,-937000000.0,1607000000.0,670000000.0,7565900000.0,7502000000.0,52478000000.0,,922100000.0,911200000.0,8.14,8.23,7502000000.0,7502000000.0,7502000000.0,7502000000.0,7514000000.0,1176000000.0,8690000000.0,245000000.0,305000000.0,-937000000.0,1607000000.0,670000000.0,9382000000.0,24918000000.0,6775000000.0,19003000000.0,34300000000.0,27560000000.0,61860000000.0,61860000000.0,IBM,-60000000.0,-60000000.0,-430000000.0,,-60000000.0,1237000000.0,16322000000.0,15706000000.0,438000000.0,,-860000000.0,995000000.0,995000000.0,995000000.0,995000000.0,616000000.0,0.0,-12000000.0,8000000.0,10000000.0,,,,,,,,,large_cap
2022-12-31,29400000.0,0.21,7034000000.0,1783000000.0,4802000000.0,27842000000.0,7174000000.0,2372000000.0,-1054000000.0,1216000000.0,162000000.0,1672400000.0,1640000000.0,52355000000.0,,912300000.0,902700000.0,1.8,1.82,1639000000.0,1639000000.0,1640000000.0,1640000000.0,1783000000.0,-626000000.0,1156000000.0,-5965000000.0,-6105000000.0,-1054000000.0,1216000000.0,162000000.0,8174000000.0,24513000000.0,6567000000.0,18609000000.0,32687000000.0,27842000000.0,60530000000.0,60530000000.0,IBM,140000000.0,140000000.0,-29000000.0,,140000000.0,1330000000.0,16103000000.0,15537000000.0,50000000.0,,-663000000.0,1062000000.0,1062000000.0,1062000000.0,1062000000.0,566000000.0,0.0,-143000000.0,21000000.0,64000000.0,,,,,,,,,large_cap
