Ticker,Date,sent_avg,heat_pub,heat_read,pub_count,pos_count,neg_count,neu_count,pos_ratio,neg_ratio,sent_ma5,sent_ma10,sent_momentum,controversy
AAPL,2015-02-10,0.1511,1.8333,1.0,2111,115,26,243,0.0544765513974419,0.0123164377072477,0.14058,0.26996,0.01052,0.012310606060606
AAPL,2015-02-11,0.3536,1.4583,1.0,3288,304,53,372,0.0924574209245742,0.0161192214111922,0.17744,0.2555199999999999,0.17616,0.0161143204621465
AAPL,2015-02-12,0.2217,1.2083,1.0,3351,152,41,327,0.0453595941509997,0.012235153685467,0.19438,0.20228,0.02732,0.0122315035799522
AAPL,2015-02-13,0.1426,1.625,0.0,3220,109,34,294,0.0338509316770186,0.0105590062111801,0.18472,0.16649,-0.04212,0.0105557280347718
AAPL,2015-02-17,0.0722,1.6667,1.0,2262,66,15,231,0.0291777188328912,0.006631299734748,0.17466,0.15762,-0.10246,0.0066283694211224
AAPL,2015-02-18,0.1096,0.9583,0.0,3093,154,32,326,0.0497898480439702,0.0103459424506951,0.12586,0.15165,-0.01626,0.0103425985778926
AAPL,2015-02-19,0.1824,0.9583,0.0,2584,155,32,304,0.059984520123839,0.0123839009287925,0.118,0.15619,0.0643999999999999,0.0123791102514506
AAPL,2015-02-20,0.1387,1.0,0.0,2046,108,35,291,0.0527859237536656,0.0171065493646138,0.11722,0.15097,0.0214799999999999,0.0170981924767953
AAPL,2015-02-23,0.0249,1.5,1.0,1737,127,6,138,0.0731145653425446,0.003454231433506,0.10556,0.148,-0.08066,0.003452243958573
AAPL,2015-02-24,0.2982,1.5833,0.0,2884,177,22,331,0.0613730929264909,0.007628294036061,0.15076,0.16271,0.14744,0.0076256499133448
AAPL,2015-02-25,0.1878,1.5833,1.0,3009,160,61,328,0.0531738118976404,0.0202725157859754,0.1664,0.14613,0.0214,0.020265780730897
AAPL,2015-02-26,0.1055,1.25,1.0,2858,123,98,265,0.043037088873338,0.0342897130860741,0.15102,0.13451,-0.0455199999999999,0.0342777194823364
AAPL,2015-02-27,0.22,1.7083,0.0,3076,166,71,361,0.053966189856957,0.0230819245773732,0.16728,0.14225,0.0527199999999999,0.0230744231394215
AAPL,2015-03-02,0.0,0.5417,0.0,2761,70,22,208,0.025353132922854,0.0079681274900398,0.1623,0.13393,-0.1623,0.0079652425778421
AAPL,2015-03-03,0.5088,0.8333,0.0,3054,125,43,300,0.0409299279633267,0.0140798952193844,0.20442,0.17759,0.30438,0.0140752864157119
AAPL,2015-03-04,0.2004,0.4583,0.0,3018,135,63,354,0.0447316103379721,0.0208747514910536,0.2069399999999999,0.18667,-0.0065399999999999,0.0208678370321298
AAPL,2015-03-05,0.4805,0.7917,1.0,3155,158,61,312,0.0500792393026941,0.0193343898573692,0.2819399999999999,0.21648,0.19856,0.0193282636248415
AAPL,2015-03-06,-0.4467,0.9583,1.0,3115,172,38,394,0.0552166934189406,0.012199036918138,0.1486,0.15794,-0.5952999999999999,0.0121951219512195
AAPL,2015-03-09,0.0272,2.0833,2.0,2644,94,22,352,0.0355521936459909,0.0083207261724659,0.15404,0.1581699999999999,-0.12684,0.0083175803402646
AAPL,2015-03-10,0.134,1.5417,2.0,11867,697,133,2106,0.0587343052161456,0.0112075503497092,0.07908,0.14175,0.05492,0.0112066059993259
AAPL,2015-03-11,0.0814,4.0,1.0,5426,258,58,871,0.0475488389237007,0.0106892738665683,0.0552799999999999,0.13111,0.02612,0.0106873042196425
AAPL,2015-03-12,0.0929,4.0,0.0,4711,201,137,664,0.0426661006155805,0.029080874548928,-0.02224,0.12985,0.1151399999999999,0.0290747028862478
AAPL,2015-03-13,0.0801,4.0,0.0,3167,116,52,445,0.0366277233975371,0.0164193242816545,0.08312,0.11586,-0.0030199999999999,0.0164141414141414
AAPL,2015-03-16,0.0327,1.0,0.0,1601,44,9,138,0.0274828232354778,0.0056214865708931,0.0842199999999999,0.1191299999999999,-0.0515199999999999,0.0056179775280898
AAPL,2015-03-17,0.1019,1.5833,1.0,2729,145,49,334,0.0531330157566874,0.017955294979846,0.0778,0.07844,0.0241,0.0179487179487179
AAPL,2015-03-18,0.1613,1.3333,1.0,2835,146,59,306,0.0514991181657848,0.0208112874779541,0.09378,0.07453,0.06752,0.0208039492242595
AAPL,2015-03-19,0.2341,1.125,0.0,2413,124,39,245,0.0513883133029424,0.0161624533775383,0.1220199999999999,0.04989,0.11208,0.016155758077879
AAPL,2015-03-20,0.1796,1.0833,0.0,2281,89,35,222,0.0390179745725558,0.0153441473038141,0.14192,0.11252,0.03768,0.0153374233128834
AAPL,2015-03-23,0.0968,0.7083,0.0,1412,44,11,129,0.0311614730878186,0.0077903682719546,0.15474,0.11948,-0.0579399999999999,0.0077848549186128
AAPL,2015-03-24,0.2488,0.75,0.0,2087,112,44,268,0.0536655486344034,0.0210828941063727,0.18412,0.13096,0.0646799999999999,0.0210727969348659
AAPL,2015-03-25,0.1606,1.125,1.0,1985,131,29,253,0.0659949622166246,0.014609571788413,0.1839799999999999,0.13888,-0.0233799999999999,0.0146022155085599
AAPL,2015-03-26,0.1358,1.2917,0.0,2132,104,37,303,0.048780487804878,0.0173545966228893,0.16432,0.14317,-0.0285199999999999,0.017346460384435
AAPL,2015-03-27,0.1089,1.4167,0.0,2701,76,30,332,0.0281377267678637,0.0111069974083672,0.1501799999999999,0.14605,-0.0412799999999999,0.0111028867505551
AAPL,2015-03-30,0.0631,1.25,0.0,1407,48,9,227,0.0341151385927505,0.0063965884861407,0.1434399999999999,0.14909,-0.0803399999999999,0.0063920454545454
AAPL,2015-03-31,0.0762,1.5417,0.0,2635,143,62,454,0.05426944971537,0.0235294117647058,0.1089199999999999,0.14652,-0.0327199999999999,0.0235204855842185
AAPL,2015-04-01,0.1018,1.2083,0.0,2580,120,51,434,0.0465116279069767,0.0197674418604651,0.09716,0.14057,0.00464,0.0197597830298334
AAPL,2015-04-02,0.1352,0.9167,0.0,2113,135,25,335,0.0638902035021296,0.011831519167061,0.0970399999999999,0.13068,0.03816,0.0118259224219489
AAPL,2015-04-06,0.1302,0.75,0.0,1040,37,10,125,0.035576923076923,0.0096153846153846,0.1166999999999999,0.13007,0.0135,0.0096061479346781
AAPL,2015-04-07,0.1479,1.375,0.0,2112,103,18,245,0.0487689393939393,0.0085227272727272,0.13104,0.11998,0.01686,0.0085186938002839
AAPL,2015-04-08,0.1075,1.7917,1.0,2562,116,33,387,0.0452771272443403,0.0128805620608899,0.13218,0.11467,-0.0246799999999999,0.0128755364806866
AAPL,2015-04-09,0.0434,2.125,0.0,3382,116,35,556,0.0342992312241277,0.0103489059727971,0.11382,0.10543,-0.07042,0.0103458468814661
AAPL,2015-04-10,0.0541,2.0,1.0,3923,199,40,659,0.0507264848330359,0.0101962783583991,0.09662,0.09995,-0.0425199999999999,0.0101936799184505
AAPL,2015-04-13,0.0699,1.875,1.0,1644,83,9,158,0.0504866180048661,0.0054744525547445,0.08456,0.10063,-0.0146599999999999,0.0054711246200607
AAPL,2015-04-14,0.2305,1.5417,1.0,2908,178,52,379,0.06121045392022,0.0178817056396148,0.1010799999999999,0.11606,0.12942,0.0178755586112066
AAPL,2015-04-15,0.1276,1.0833,1.0,3019,190,35,433,0.062934746604836,0.0115932427956276,0.1051,0.11864,0.0224999999999999,0.0115894039735099
AAPL,2015-04-16,0.2238,1.25,1.0,2545,178,40,358,0.0699410609037328,0.0157170923379174,0.14118,0.1275,0.08262,0.0157109190887666
AAPL,2015-04-17,0.0894,1.3333,1.0,2545,118,32,378,0.0463654223968565,0.0125736738703339,0.1482399999999999,0.12243,-0.0588399999999999,0.0125687352710133
AAPL,2015-04-20,0.0837,1.2083,2.0,1258,46,15,149,0.0365659777424483,0.0119236883942766,0.151,0.11778,-0.0673,0.011914217633042
AAPL,2015-04-21,0.1089,0.75,2.0,1946,85,21,241,0.0436793422404933,0.0107913669064748,0.12668,0.11388,-0.0177799999999999,0.0107858243451463
AAPL,2015-04-22,0.0961,1.0833,2.0,2294,111,31,301,0.0483870967741935,0.0135135135135135,0.12038,0.1127399999999999,-0.0242799999999999,0.0135076252723311
AAPL,2015-04-23,0.0984,1.8333,2.0,2312,94,36,328,0.0406574394463667,0.0155709342560553,0.0952999999999999,0.1182399999999999,0.0031,0.0155642023346303
AAPL,2015-04-24,0.0501,1.8333,2.0,3337,153,34,585,0.0458495654779742,0.0101887923284387,0.0874399999999999,0.11784,-0.0373399999999999,0.0101857399640503
AAPL,2015-04-27,0.212,2.4167,2.0,1928,146,21,205,0.0757261410788381,0.0108921161825726,0.1130999999999999,0.13205,0.0989,0.0108864696734059
AAPL,2015-04-28,0.6356,2.375,3.0,5693,900,73,588,0.1580888810820305,0.0128227647988758,0.21844,0.17256,0.41716,0.0128205128205128
AAPL,2015-04-29,0.6611,1.2917,2.0,3730,334,69,346,0.0895442359249329,0.0184986595174262,0.33144,0.22591,0.32966,0.0184937014205306
AAPL,2015-04-30,0.1585,1.9583,2.0,3417,151,68,443,0.0441908106526192,0.0199004975124378,0.34346,0.21938,-0.1849599999999999,0.0198946752486834
AAPL,2015-05-01,0.2158,1.5417,1.0,2375,173,49,431,0.0728421052631578,0.0206315789473684,0.3766,0.2320199999999999,-0.1608,0.0206228956228956
AAPL,2015-05-04,0.1753,1.25,1.0,1312,39,3,96,0.0297256097560975,0.0022865853658536,0.36926,0.24118,-0.19396,0.0022848438690022
AAPL,2015-05-05,0.0694,1.5,2.0,2035,87,29,313,0.0427518427518427,0.0142506142506142,0.25602,0.23723,-0.18662,0.0142436149312377
AAPL,2015-05-06,0.0511,1.25,2.0,2251,96,37,350,0.0426477121279431,0.0164371390493114,0.13402,0.2327299999999999,-0.08292,0.0164298401420959
AAPL,2015-05-07,0.1525,1.4167,1.0,2188,123,24,307,0.0562157221206581,0.0109689213893967,0.13282,0.23814,0.01968,0.0109639104613979
AAPL,2015-05-08,0.1308,1.3333,1.0,1738,87,35,226,0.0500575373993095,0.0201380897583429,0.11582,0.2462099999999999,0.0149799999999999,0.0201265094882116
AAPL,2015-05-11,0.1451,1.0,1.0,1484,74,9,165,0.0498652291105121,0.0060646900269541,0.10978,0.23952,0.0353199999999999,0.006060606060606
AAPL,2015-05-12,0.1808,1.375,1.0,2027,121,18,255,0.0596941292550567,0.0088801184015786,0.13206,0.19404,0.0487399999999999,0.0088757396449704
AAPL,2015-05-13,0.1847,0.8333,1.0,1863,106,21,206,0.0568974771873322,0.0112721417069243,0.1587799999999999,0.1464,0.02592,0.0112660944206008
AAPL,2015-05-14,0.1128,1.5417,1.0,1490,73,25,213,0.048993288590604,0.0167785234899328,0.15084,0.14183,-0.03804,0.016767270288397
AAPL,2015-05-15,0.0964,0.8333,0.0,1642,89,24,267,0.0542021924482338,0.0146163215590742,0.14396,0.12989,-0.04756,0.0146074254412659
AAPL,2015-05-18,0.0982,1.5417,2.0,1529,75,15,185,0.0490516677567037,0.0098103335513407,0.1345799999999999,0.12218,-0.0363799999999999,0.0098039215686274
AAPL,2015-05-19,0.1192,1.8333,1.0,3559,175,87,474,0.0491711154818769,0.0244450688395616,0.12226,0.12716,-0.0030599999999999,0.024438202247191
AAPL,2015-05-20,0.0991,1.0417,1.0,2576,129,32,402,0.0500776397515527,0.0124223602484472,0.10514,0.13196,-0.00604,0.012417539774932
AAPL,2015-05-21,0.0976,0.8333,1.0,1904,95,16,247,0.0498949579831932,0.0084033613445378,0.1021,0.12647,-0.0044999999999999,0.0083989501312335
AAPL,2015-05-22,0.1262,1.0417,0.0,1902,90,19,259,0.0473186119873817,0.0099894847528916,0.10806,0.12601,0.01814,0.0099842354177614
AAPL,2015-05-26,0.0376,1.5,1.0,1653,39,17,216,0.0235934664246823,0.0102843315184513,0.07708,0.09967,-0.0394799999999999,0.0102781136638452
AAPL,2015-05-27,0.0595,1.2917,1.0,2880,114,53,301,0.0395833333333333,0.0184027777777777,0.06916,0.08715,-0.00966,0.0183963901423116
AAPL,2015-05-28,0.0933,1.0,1.0,3091,156,44,464,0.0504691038498867,0.0142348754448398,0.0683,0.0852,0.0249999999999999,0.0142302716688227
AAPL,2015-05-29,0.1139,0.7917,0.0,2689,98,31,315,0.0364447750092971,0.0115284492376348,0.06584,0.08695,0.04806,0.0115241635687732
AAPL,2015-06-01,-0.0667,0.625,0.0,1489,47,40,214,0.0315648085963734,0.0268636668905305,0.04752,0.07046,-0.11422,0.0268456375838926
AAPL,2015-06-02,0.0657,0.8333,1.0,2410,111,36,395,0.046058091286307,0.0149377593360995,0.05314,0.06511,0.0125599999999999,0.0149315636665284
AAPL,2015-06-03,0.082,1.25,1.0,2185,107,16,290,0.0489702517162471,0.0073226544622425,0.05764,0.0634,0.02436,0.0073193046660567
AAPL,2015-06-04,0.1101,0.9583,1.0,2650,163,52,375,0.0615094339622641,0.0196226415094339,0.061,0.06465,0.0491,0.0196152395322519
AAPL,2015-06-05,0.1201,0.7917,1.0,2266,94,36,325,0.0414827890556045,0.0158870255957634,0.06224,0.06404,0.0578599999999999,0.015880017644464
AAPL,2015-06-08,0.1794,2.1667,2.0,1939,149,11,247,0.076843733883445,0.0056730273336771,0.11146,0.07949,0.06794,0.0056701030927835
AAPL,2015-06-09,0.0989,4.0,2.0,7410,527,59,1713,0.0711201079622132,0.0079622132253711,0.1181,0.08562,-0.0192,0.0079611388476588
AAPL,2015-06-10,0.1043,4.0,1.0,3262,245,38,564,0.075107296137339,0.0116492949110974,0.12256,0.0901,-0.01826,0.0116457247931351
AAPL,2015-06-11,0.1656,4.0,1.0,2474,115,42,349,0.0464834276475343,0.0169765561843168,0.1336599999999999,0.09733,0.03194,0.0169696969696969
AAPL,2015-06-12,0.1104,0.9583,0.0,1918,92,39,262,0.0479666319082377,0.0203336809176225,0.13172,0.09698,-0.02132,0.0203230849400729
AAPL,2015-06-15,0.1646,0.625,0.0,1103,34,5,116,0.0308250226654578,0.0045330915684496,0.1287599999999999,0.12011,0.03584,0.0045289855072463
